FID,X,Y,District,Country,Species
84,35.6153603,8.0916218,Ale,Ethiopia,Coffeearabica
85,35.6163863,8.0885228,Ale,Ethiopia,Coffeearabica
86,35.6170967,8.0864016,Ale,Ethiopia,Coffeearabica
87,35.6168252,8.079741,Ale,Ethiopia,Coffeearabica
88,35.4928868,8.192228,Ale,Ethiopia,Coffeearabica
89,35.4943812,8.1937375,Ale,Ethiopia,Coffeearabica
90,35.4962503,8.1943774,Ale,Ethiopia,Coffeearabica
91,35.4975815,8.1946426,Ale,Ethiopia,Coffeearabica
92,35.4991049,8.1950918,Ale,Ethiopia,Coffeearabica
93,35.4995615,8.1961546,Ale,Ethiopia,Coffeearabica
94,35.501771,8.1961393,Ale,Ethiopia,Coffeearabica
95,35.503329,8.197258,Ale,Ethiopia,Coffeearabica
96,35.5022667,8.1945533,Ale,Ethiopia,Coffeearabica
97,35.5002703,8.1936009,Ale,Ethiopia,Coffeearabica
98,35.4986874,8.1921694,Ale,Ethiopia,Coffeearabica
99,35.4975209,8.1910037,Ale,Ethiopia,Coffeearabica
100,35.4958104,8.1905024,Ale,Ethiopia,Coffeearabica
101,35.5197441,8.1683538,Ale,Ethiopia,Coffeearabica
102,35.5174085,8.1707514,Ale,Ethiopia,Coffeearabica
103,35.5143441,8.1719223,Ale,Ethiopia,Coffeearabica
104,35.5103702,8.1714834,Ale,Ethiopia,Coffeearabica
105,35.5063115,8.1723983,Ale,Ethiopia,Coffeearabica
106,35.503617,8.1764506,Ale,Ethiopia,Coffeearabica
107,35.5021883,8.1800223,Ale,Ethiopia,Coffeearabica
108,35.5011357,8.1846336,Ale,Ethiopia,Coffeearabica
109,35.5000623,8.1884414,Ale,Ethiopia,Coffeearabica
110,35.4976812,8.1899176,Ale,Ethiopia,Coffeearabica
111,35.4949736,8.1922835,Ale,Ethiopia,Coffeearabica
112,35.4907008,8.1929471,Ale,Ethiopia,Coffeearabica
113,35.4886653,8.1913372,Ale,Ethiopia,Coffeearabica
114,35.4839994,8.1907992,Ale,Ethiopia,Coffeearabica
115,35.4806673,8.1884014,Ale,Ethiopia,Coffeearabica
116,35.4820794,8.1857433,Ale,Ethiopia,Coffeearabica
117,35.5857811,8.0715102,Ale,Ethiopia,Coffeearabica
